1	3
2	7
3	3
4	1
5	4
6	5
7	3
8	6
9	5
10	7
11	8
12	3
13	6
14	1
15	8
16	6
17	5
18	2
19	1
20	1
21	6
22	1
23	1
24	6
25	7
26	2
27	5
28	2
29	4
30	2
31	3
32	1
33	3
34	3
35	3
36	8
37	2
38	9
39	2
40	3
41	1
42	4
43	3
44	1
45	1
46	3
47	1
48	9
49	3
50	6
51	7
52	5
53	9
54	1
55	9
56	8
57	3
58	3
59	7
60	2
61	2
62	3
63	1
64	8
65	3
66	8
67	3
68	5
69	1
70	1
71	8
72	3
73	4
74	4
75	8
76	8
77	3
78	1
79	8
80	3
81	9
82	1
83	5
84	2
85	1
86	5
87	9
88	4
89	1
90	9
91	2
92	7
93	2
94	2
95	1
96	2
97	6
98	5
99	9
100	4
101	2
102	6
103	3
104	4
105	2
106	3
107	9
108	2
109	2
110	6
111	8
112	9
113	7
114	7
115	7
116	1
117	6
118	2
119	1
120	8
121	1
122	4
123	1
124	4
125	2
126	3
127	9
128	6
129	7
130	9
131	4
132	4
133	4
134	1
135	9
136	9
137	7
138	7
139	4
140	8
141	2
142	6
143	4
144	5
145	4
146	1
147	2
148	9
149	3
150	3
151	4
152	1
153	5
154	7
155	3
156	2
157	8
158	1
159	9
160	6
161	3
162	5
163	6
164	3
165	2
166	6
167	1
168	2
169	3
170	3
171	1
172	9
173	5
174	1
175	5
176	1
177	6
178	1
179	2
180	5
181	7
182	8
183	8
184	2
185	1
186	6
187	4
188	6
189	6
190	1
191	7
192	3
193	4
194	3
195	7
196	8
197	5
198	8
199	3
200	7
201	8
202	3
203	6
204	3
205	7
206	2
207	2
208	1
209	7
210	4
211	3
212	9
213	2
214	3
215	5
216	4
217	1
218	3
219	8
220	7
221	3
222	7
223	1
224	7
225	8
226	8
227	3
228	6
229	5
230	4
231	5
232	2
233	1
234	4
235	2
236	9
237	4
238	2
239	4
240	5
241	1
242	2
243	8
244	3
245	4
246	4
247	3
248	3
249	9
250	4
251	6
