,dim,algo,param,jsd,iteration
0,4,hope,katz,0.001325139,0
6,4,n2v,1 1,0.001245893,0
7,4,n2v,1 1,0.001294862,1
8,4,n2v,1 1,0.001253184,2
9,4,n2v,1 1,0.001308813,3
10,4,n2v,1 1,0.001297959,4
11,4,n2v,1 1,0.001270002,5
12,4,n2v,1 1,0.001243158,6
13,4,n2v,1 1,0.001283484,7
14,4,n2v,1 1,0.001324337,8
15,4,n2v,1 1,0.001284254,9
16,4,n2v,1 1,0.001278852,10
17,4,n2v,1 1,0.001224673,11
18,4,n2v,1 1,0.001232018,12
19,4,n2v,1 1,0.001256109,13
20,4,n2v,1 1,0.001281899,14
21,4,n2v,1 1,0.001269416,15
22,4,n2v,1 1,0.001305577,16
23,4,n2v,1 1,0.001240522,17
24,4,n2v,1 1,0.001267163,18
25,4,n2v,1 1,0.00122171,19
26,4,n2v,1 1,0.001280013,20
27,4,n2v,1 1,0.001249873,21
28,4,n2v,1 1,0.00128905,22
29,4,n2v,1 1,0.001296393,23
30,4,n2v,1 1,0.001310538,24
31,4,n2v,1 1,0.001259406,25
32,4,n2v,1 1,0.001182848,26
33,4,n2v,1 1,0.001312872,27
34,4,n2v,1 1,0.00123311,28
35,4,n2v,1 1,0.001279925,29
1,8,hope,katz,0.001325139,0
36,8,n2v,1 1,0.001247745,0
37,8,n2v,1 1,0.001297133,1
38,8,n2v,1 1,0.001276531,2
39,8,n2v,1 1,0.001225796,3
40,8,n2v,1 1,0.001250049,4
41,8,n2v,1 1,0.001254909,5
42,8,n2v,1 1,0.001225283,6
43,8,n2v,1 1,0.001217297,7
44,8,n2v,1 1,0.001259551,8
45,8,n2v,1 1,0.001233739,9
46,8,n2v,1 1,0.00125553,10
47,8,n2v,1 1,0.001239988,11
48,8,n2v,1 1,0.001265574,12
49,8,n2v,1 1,0.001247904,13
50,8,n2v,1 1,0.001286985,14
51,8,n2v,1 1,0.001254558,15
52,8,n2v,1 1,0.001237133,16
53,8,n2v,1 1,0.001241584,17
54,8,n2v,1 1,0.001265754,18
55,8,n2v,1 1,0.00124869,19
56,8,n2v,1 1,0.001272478,20
57,8,n2v,1 1,0.001256228,21
58,8,n2v,1 1,0.001260406,22
59,8,n2v,1 1,0.001276788,23
60,8,n2v,1 1,0.001256801,24
61,8,n2v,1 1,0.001253237,25
62,8,n2v,1 1,0.001267948,26
63,8,n2v,1 1,0.001227947,27
64,8,n2v,1 1,0.001245908,28
65,8,n2v,1 1,0.001282736,29
2,16,hope,katz,0.001325139,0
66,16,n2v,1 1,0.001280374,0
67,16,n2v,1 1,0.001232638,1
68,16,n2v,1 1,0.00125485,2
69,16,n2v,1 1,0.001280833,3
70,16,n2v,1 1,0.001265155,4
71,16,n2v,1 1,0.001251122,5
72,16,n2v,1 1,0.001250834,6
73,16,n2v,1 1,0.001251651,7
74,16,n2v,1 1,0.001201615,8
75,16,n2v,1 1,0.001243446,9
76,16,n2v,1 1,0.001266852,10
77,16,n2v,1 1,0.001233485,11
78,16,n2v,1 1,0.001261527,12
79,16,n2v,1 1,0.001256619,13
80,16,n2v,1 1,0.001253894,14
81,16,n2v,1 1,0.001284036,15
82,16,n2v,1 1,0.001254867,16
83,16,n2v,1 1,0.001246429,17
84,16,n2v,1 1,0.001247043,18
85,16,n2v,1 1,0.001238992,19
86,16,n2v,1 1,0.001240543,20
87,16,n2v,1 1,0.00127587,21
88,16,n2v,1 1,0.001275539,22
89,16,n2v,1 1,0.001274053,23
90,16,n2v,1 1,0.001238388,24
91,16,n2v,1 1,0.001246594,25
92,16,n2v,1 1,0.001249741,26
93,16,n2v,1 1,0.001259451,27
94,16,n2v,1 1,0.00129109,28
95,16,n2v,1 1,0.001253907,29
3,32,hope,katz,0.001325139,0
96,32,n2v,1 1,0.001232158,0
97,32,n2v,1 1,0.001230143,1
98,32,n2v,1 1,0.001250519,2
99,32,n2v,1 1,0.001270826,3
100,32,n2v,1 1,0.001256209,4
101,32,n2v,1 1,0.001229273,5
102,32,n2v,1 1,0.001259306,6
103,32,n2v,1 1,0.001269505,7
104,32,n2v,1 1,0.001253267,8
105,32,n2v,1 1,0.001287628,9
106,32,n2v,1 1,0.001273562,10
107,32,n2v,1 1,0.001288286,11
108,32,n2v,1 1,0.001263941,12
109,32,n2v,1 1,0.0012215,13
110,32,n2v,1 1,0.001250917,14
111,32,n2v,1 1,0.001248516,15
112,32,n2v,1 1,0.001252084,16
113,32,n2v,1 1,0.001251264,17
114,32,n2v,1 1,0.001289591,18
